dialog_act,utterance
inform,im looking for a restaurant in the east part of town that serves chinese food
null,noise
reqalts,is there anything else
request,what is the address
inform,any
null,sil
thankyou,thank you good bye
thankyou,thank you goodbye
thankyou,noise thank you goodbye
inform,i need a restaurant in the west part of town
request,what is the phone number
inform,cheap restaurant east of town
thankyou,thank you good bye
request,whats the phone number and address
thankyou,okay thank you goodbye
inform,expensive
request,type of food
request,address
inform,moderately priced
request,the address
null,unintelligible
thankyou,thank you
request,uh what type of food
inform,any area
inform,british food
request,can i have the address and phone number
bye,good bye
null,and ah
reqalts,what about chinese food
request,what kind of food does it serve
thankyou,thank you good bye
inform,cheap
affirm,yes
request,phone number
inform,im looking for a cheap restaurant in the west part of town
reqalts,what about british
inform,im looking for
inform,i would like modern european food
inform,italian
inform,dont care
request,kay and ah where is it located
request,what is the address and type of food
thankyou,thank you good bye
inform,i dont care
negate,no thats good because i want um asian oriental
thankyou,thank you good bye
inform,it doesnt matter
inform,im looking for an ex
inform,noise im looking for a restaurant serving vegetarian food
inform,indian food west part of town
inform,sea food
inform,north part of town
inform,north
request,address
inform,dont care
inform,do you have a place that serves turkish food
reqalts,how about gastropub type of food
inform,north american
inform,how bout che italian food
reqalts,what about vietnamese type of food
negate,no
inform,dont care
reqalts,how about italian
request,postcode
request,could i have the address
request,phone number
inform,moderately priced
thankyou,thank you good bye
inform,im looking for moderately priced in the north part of town
inform,i dont care
affirm,yes
inform,cheap
request,address
request,great whats the address and phone number
inform,uh doesnt matter
negate,no
affirm,yes
request,post code
request,phone number
inform,italian food in the south part of town
request,whats their phone number
affirm,yes
hello,music hello
inform,moderately priced restaurant in the south of town
affirm,yes
request,whats the address
thankyou,thank you good bye
request,and the price range
inform,east
inform,any price range is fine
inform,find me italian food
request,address
reqalts,how about a restaurant in the west part of town that serves vietnamese
inform,i need a restaurant that serves canape
inform,any
thankyou,thank you good bye
request,can i have the phone number
inform,dont care
request,phone number
inform,hungarian
thankyou,thank you good bye
request,what is their phone number
affirm,yes
inform,south
inform,i need a restaurant in the north part of town that serves lebanese food
null,noise
inform,any
inform,italian food
inform,swiss
request,whats the address
inform,im looking for a moderately priced restaurant that serves tur
request,what is the address and phone number
request,could i have the address and phone number please
thankyou,thank you goodbye
null,expen
inform,i dont care
inform,italian
request,type of food
request,phone number
thankyou,okay thank you good bye
reqalts,how about in any area
affirm,yes
null,unintelligible
request,address
inform,west
inform,dont care
inform,asian
request,address
inform,gastropub food
request,address
reqalts,how about asian oriental food
null,and whats the postal code
request,address
request,post code
request,what is the address and phone number
thankyou,thank you good bye
inform,in the west
negate,no spanish
inform,italian food
inform,basque food
affirm,yes
inform,christmas food
inform,thai food
thankyou,thank you good bye
request,what area
reqalts,how about french food
inform,any price range
inform,an expensive italian restaurant
